date,protocol,pool,base_apy_pct,reward_apy_pct,total_apy_pct,tvl_usd,volume_24h_usd,fee_tier_bps,chain,impermanent_loss_30d_pct
2026-06-01,Aerodrome,WETH/USDC,2.79,3.41,5.5,448085871,44415592,100,Base,-4.22
2026-06-02,Uniswap V3,cbBTC/USDC,25.21,21.14,58.95,378922521,36288864,100,Base,-4.79
2026-06-03,BaseSwap,USDC/USDbC,2.44,0.78,5.31,343883734,6531623,1,Base,1.22
2026-06-04,Morpho,WETH/cbETH,27.97,15.76,56.81,297197560,29630419,1,Base,-2.28
2026-06-05,Aave V3,AERO/WETH,41.86,42.23,88.22,497972448,14879329,1,Base,-1.27
2026-06-06,Compound III,USDC/DAI,6.85,6.37,16.45,112527402,6920824,30,Base,1.2
2026-06-07,Aerodrome,WETH/USDC,14.01,17.76,33.82,185460656,6233465,100,Base,-0.13
2026-06-08,Uniswap V3,cbBTC/USDC,3.14,1.68,4.14,374746820,30621392,100,Base,-4.04
2026-06-09,BaseSwap,USDC/USDbC,19.0,10.18,41.98,172302295,29140115,30,Base,-2.05
2026-06-10,Morpho,WETH/cbETH,16.17,5.61,27.35,341351036,37648564,30,Base,-0.88
2026-06-11,Aave V3,AERO/WETH,8.84,3.1,19.59,384087557,40645295,1,Base,1.74
2026-06-12,Compound III,USDC/DAI,15.18,17.88,24.98,322595103,36151016,5,Base,-1.81
2026-06-13,Aerodrome,WETH/USDC,28.44,42.23,53.69,129358966,35932539,5,Base,-2.72
2026-06-14,Uniswap V3,cbBTC/USDC,13.82,4.51,19.39,254243901,38004302,5,Base,-0.76
2026-06-15,BaseSwap,USDC/USDbC,12.03,11.31,18.56,493742276,20688660,30,Base,-3.99
2026-06-16,Morpho,WETH/cbETH,41.07,27.17,98.91,296014696,41903063,100,Base,-2.41
2026-06-17,Aave V3,AERO/WETH,3.77,2.37,9.35,418562757,6169831,30,Base,-1.35
2026-06-18,Compound III,USDC/DAI,34.4,33.04,85.63,481283264,33981555,30,Base,-0.24
2026-06-19,Aerodrome,WETH/USDC,8.88,12.21,14.31,392845660,43874412,100,Base,-4.76
2026-06-20,Uniswap V3,cbBTC/USDC,13.36,5.1,22.4,345289818,47556028,30,Base,-4.92
2026-06-21,BaseSwap,USDC/USDbC,6.41,7.47,13.15,138521610,13265251,30,Base,-4.79
2026-06-22,Morpho,WETH/cbETH,37.1,26.75,86.43,153912378,29506900,1,Base,0.84
2026-06-23,Aave V3,AERO/WETH,2.67,3.78,4.11,341293083,31908190,100,Base,-1.86
2026-06-24,Compound III,USDC/DAI,23.91,14.13,40.18,427521195,25292330,100,Base,0.83
2026-06-25,Aerodrome,WETH/USDC,2.89,1.95,5.55,158728721,35554620,100,Base,-4.66
2026-06-26,Uniswap V3,cbBTC/USDC,36.21,36.75,65.58,10100071,46844996,100,Base,-4.3
2026-06-27,BaseSwap,USDC/USDbC,39.7,20.28,73.2,64432837,45662787,30,Base,-4.15
2026-06-28,Morpho,WETH/cbETH,41.5,15.0,84.36,26690014,47112812,1,Base,-4.68
2026-06-29,Aave V3,AERO/WETH,7.43,4.5,9.76,185198336,4301978,5,Base,-1.43
2026-06-30,Compound III,USDC/DAI,3.34,4.0,5.29,474015373,1650514,1,Base,-3.8
